Callnumber;Barcode;Title;Year;Location
AMFI: 004 BELL;HV008698;Foundations of futures studies;2003;Bibliotheek AMFI
AMFI: 004 BENY;HV132376;Biomimicry;2002;Bibliotheek AMFI
AMFI: 004 NADI;HV019986;Anticipation;2002;Bibliotheek AMFI
AMFI: 031 GLOS;TM011293;Online resources for business;1995;Bibliotheek AMFI
AMFI: 031 ONLI;TM044605;Online opsporen van informatie;1994;Bibliotheek AMFI
AMFI: 035 ALL;HV114544;All this stuff;2013;Bibliotheek AMFI
AMFI: 035 ARCH;HV099810;Archive2020;2010;Bibliotheek AMFI
AMFI: 035 LAP;HV088907;Het ontwerpproces bewaard;2007;Bibliotheek AMFI
AMFI: 037 FLEC;HV079058;A practical guide to costume mounting;2007;Bibliotheek AMFI
AMFI: 037 GIDS;HV154125;Gids voor textieltoeristen;1989;Bibliotheek AMFI
AMFI: 051 JOUR;TM041257;The journal of the century;1976;Bibliotheek AMFI
AMFI: 083.2 SCHR;HV092597;The paperback art of James Avati;2005;Bibliotheek AMFI
AMFI: 090 MACL;HV003990;Thebook of probes;2003;Bibliotheek AMFI
AMFI: 090.1 BEUN;HV008834;De verbeelding van de wereld, de wereld van de verbeelding;1998;Bibliotheek AMFI
AMFI: 092 CREW;HV011473;Representing men;2003;Bibliotheek AMFI
AMFI: 092.2 GEEV;TM006135;Knopen van m'n jas';1992;Bibliotheek AMFI
AMFI: 140 BEAU;TM014344;Qu'est-ce que la beauté;2000;Bibliotheek AMFI
AMFI: 140 DAVI;TM010779;Visual design in dress;1996;Bibliotheek AMFI
AMFI: 140 DECO 1;HV107763;Decoratie in ontwerp;1985;Bibliotheek AMFI
AMFI: 140 DECO 2;TM017533;Decoratie in ontwerp, kleding/mode 1985-1986;1985;Bibliotheek AMFI
AMFI: 140 DELO;TM017099;The way we look;1998;Bibliotheek AMFI
AMFI: 140 DOVE;HV057333;Dove presenteert: Feiten&foto's;2005;Bibliotheek AMFI
AMFI: 140 ECO;HV067744;On ugliness;2007;Bibliotheek AMFI
AMFI: 140 ECO;HV008589;On beauty;2004;Bibliotheek AMFI
AMFI: 140 FIOR;HV101789;Understanding aesthetics for the merchandising and design professional;2010;Bibliotheek AMFI
AMFI: 140 HOEN;TM024520;The power of beauty;1999;Bibliotheek AMFI
AMFI: 140 INDI;TM024760;Individuality in clothing selection and personal appearance;2000;Bibliotheek AMFI
AMFI: 140 KORE;HV021624;Wabi-Sabi for artists, designers, poets & philosophers;1994;Bibliotheek AMFI
AMFI: 140 NATU;TM017900;Natuur en mode;1981;Bibliotheek AMFI
AMFI: 140 RANC;HV084509;The politics of aesthetics;2004;Bibliotheek AMFI
AMFI: 140 SAIK;TM017144;Proportion in women's fashionable clothing: 1945 to 1995;1996;Bibliotheek AMFI
AMFI: 140 SCHE;TM010899;What is beauty?;1997;Bibliotheek AMFI
AMFI: 140 SMAA;TM024594;Smaak;1999;Bibliotheek AMFI
AMFI: 140 SVEN;HV078531;Fashion: a philosophy;2006;Bibliotheek AMFI
AMFI: 140 TANI;HV008780;In praise of shadows;1977;Bibliotheek AMFI
AMFI: 140 VERL;HV019129;De Verleiding;2003;Bibliotheek AMFI
AMFI: 140 VERL;FM003487;De verleiding op straat;2003;Bibliotheek AMFI
AMFI: 140 WIES;HV092638;Artificial presence;2010;Bibliotheek AMFI
AMFI: 203.1 KATZ;TM007800;Myths and legends of China, Japan, and India;1995;Bibliotheek AMFI
AMFI: 203.1 MYTH;TM043127;Mythologie van de gehele wereld;1987;Bibliotheek AMFI
AMFI: 216.1 CLAY;TM041155;Great figures of mythology;1990;Bibliotheek AMFI
AMFI: 216.1 GRAN;TM041201;An introduction to Viking mythology;1990;Bibliotheek AMFI
AMFI: 216.1 MONC;TM045131;Klassieke mythologie;1992;Bibliotheek AMFI
AMFI: 216.1 SCHW;TM045140;Griekse mythen en sagen;1994;Bibliotheek AMFI
AMFI: 220 ROGE;TM044001;Atlas van de b?bel;1988;Bibliotheek AMFI
AMFI: 225 MASA;TM041187;Masada en de grotten van Bar Kochba;1971;Bibliotheek AMFI
AMFI: 233 CHAD;TM043750;Atlas van het christendom;1987;Bibliotheek AMFI
AMFI: 242.4 WILS;TM046631;Angels;1994;Bibliotheek AMFI
AMFI: 300.5 BAKA;HV106391;The future of faith;2010;Bibliotheek AMFI
AMFI: 300.5 MACK;HV063249;Perform or else;2001;Bibliotheek AMFI
AMFI: 305 HAND;HV046088;The handbook of attitudes;2005;Bibliotheek AMFI
AMFI: 305.2 SOCI;TM000107;Social science aspects of dress;1993;Bibliotheek AMFI
AMFI: 305.8 BRAK;HV012930;Doing business internationally;1995;Bibliotheek AMFI
AMFI: 305.8 HAMP;HV021661;Building cross-cultural competence;2000;Bibliotheek AMFI
AMFI: 305.8 HOFS;HV021770;Culture's consequences;2001;Bibliotheek AMFI
AMFI: 305.8 MICH;HV048851;Communicatieplanner;2008;Bibliotheek AMFI
AMFI: 305.8 PINT;TM000442;Interculturele communicatie;1994;Bibliotheek AMFI
AMFI: 305.8 SIMM;HV004402;The story factor;2001;Bibliotheek AMFI
AMFI: 305.9 ETCO;HV005608;Survival of the prettiest;1999;Bibliotheek AMFI
AMFI: 305.9 KAIS;TM042053;The social psychology of clothing;1990;Bibliotheek AMFI
AMFI: 307.4 HOFL;TM041585;Een teken aan de wand;1983;Bibliotheek AMFI
AMFI: 308.1 MEN;TM042042;Men and women;1989;Bibliotheek AMFI
AMFI: 308.12 VROU;TM043016;Vrouwen nu;1960;Bibliotheek AMFI
AMFI: 308.4 BOGT;TM042713;Jongeren op de drempel van de jaren negentig;1992;Bibliotheek AMFI
AMFI: 308.4 JONG;TM024802;Jong!;2000;Bibliotheek AMFI
AMFI: 308.4 KAGI;TM007614;Met de beste bedoelingen;1991;Bibliotheek AMFI
AMFI: 308.4 NELI;HV107656;Over de top;2012;Bibliotheek AMFI
AMFI: 308.4 PLAT;HV105438;Our world;2010;Bibliotheek AMFI
AMFI: 308.4 SAVA;HV067050;Teenage;2007;Bibliotheek AMFI
AMFI: 308.9 KOPN;HV053533;East to West migration;2005;Bibliotheek AMFI
AMFI: 309 BAKA;HV005618;Megatrends Nederland;2005;Bibliotheek AMFI
AMFI: 309 BAKA;HV069699;Microtrends Nederland;2009;Bibliotheek AMFI
AMFI: 309 BAKA;HV041215;Megatrends Europe;2006;Bibliotheek AMFI
AMFI: 309 EILA;TM007610;Naar 2020;1995;Bibliotheek AMFI
AMFI: 309 KONI;HV078246;De stand des t?ds;2006;Bibliotheek AMFI
AMFI: 309 MART;HV096067;The meaning of the 21st century;2007;Bibliotheek AMFI
AMFI: 309 NEDE;HV078661;Nederland in 2006;2006;Bibliotheek AMFI
AMFI: 309 NEW;TM024556;Sex 2000;1999;Bibliotheek AMFI
AMFI: 309 ROHD;HV109670;Dossier Supertrends;2010;Bibliotheek AMFI
AMFI: 309 ROOT;HV092610;Goed boek;2010;Bibliotheek AMFI
AMFI: 314 WONE;FM003587;Honderd jaar wonen in Nederland;2000;Bibliotheek AMFI
AMFI: 315 JEFF;HV046009;Beauty and misogyny;2005;Bibliotheek AMFI
AMFI: 315 WOLF;HV000420;The beauty myth;1991;Bibliotheek AMFI
AMFI: 318.4 CHAN;HV090415;Factory girls;2009;Bibliotheek AMFI
AMFI: 318.4 MARI;TM046186;Vrouwen aan het werk als HTS-ingenieur;1986;Bibliotheek AMFI
AMFI: 318.4 VALK;TM010351;Onderzoek naar de toekomstige carrièrekansen voor studenten en afgestudeerden van de opleiding Mode;1997;Bibliotheek AMFI
AMFI: 318.5 KRUIJ;TM010071;Child and adult labour in the export-oriented garment and gem polishing industry of India;1996;Bibliotheek AMFI
