;Barcode;Title;Year;Location
4;HV008698;Foundations of futures studies;2003;Bibliotheek AMFI
4;HV132376;Biomimicry;2002;Bibliotheek AMFI
4;HV019986;Anticipation;2002;Bibliotheek AMFI
31;TM011293;Online resources for business;1995;Bibliotheek AMFI
31;TM044605;Online opsporen van informatie;1994;Bibliotheek AMFI
35;HV114544;All this stuff;2013;Bibliotheek AMFI
35;HV099810;Archive2020;2010;Bibliotheek AMFI
35;HV088907;Het ontwerpproces bewaard;2007;Bibliotheek AMFI
37;HV079058;A practical guide to costume mounting;2007;Bibliotheek AMFI
37;HV154125;Gids voor textieltoeristen;1989;Bibliotheek AMFI
51;TM041257;The journal of the century;1976;Bibliotheek AMFI
83.2;HV092597;The paperback art of James Avati;2005;Bibliotheek AMFI
90;HV003990;Thebook of probes;2003;Bibliotheek AMFI
90.1;HV008834;De verbeelding van de wereld, de wereld van de verbeelding;1998;Bibliotheek AMFI
92;HV011473;Representing men;2003;Bibliotheek AMFI
92.2;TM006135;Knopen van m'n jas';1992;Bibliotheek AMFI
140;TM014344;Qu'est-ce que la beauté;2000;Bibliotheek AMFI
140;TM010779;Visual design in dress;1996;Bibliotheek AMFI
140;HV107763;Decoratie in ontwerp;1985;Bibliotheek AMFI
140;TM017533;Decoratie in ontwerp, kleding/mode 1985-1986;1985;Bibliotheek AMFI
140;TM017099;The way we look;1998;Bibliotheek AMFI
140;HV057333;Dove presenteert: Feiten&foto's;2005;Bibliotheek AMFI
140;HV067744;On ugliness;2007;Bibliotheek AMFI
140;HV008589;On beauty;2004;Bibliotheek AMFI
140;HV101789;Understanding aesthetics for the merchandising and design professional;2010;Bibliotheek AMFI
140;TM024520;The power of beauty;1999;Bibliotheek AMFI
140;TM024760;Individuality in clothing selection and personal appearance;2000;Bibliotheek AMFI
140;HV021624;Wabi-Sabi for artists, designers, poets & philosophers;1994;Bibliotheek AMFI
140;TM017900;Natuur en mode;1981;Bibliotheek AMFI
140;HV084509;The politics of aesthetics;2004;Bibliotheek AMFI
140;TM017144;Proportion in women's fashionable clothing: 1945 to 1995;1996;Bibliotheek AMFI
140;TM010899;What is beauty?;1997;Bibliotheek AMFI
140;TM024594;Smaak;1999;Bibliotheek AMFI
140;HV078531;Fashion: a philosophy;2006;Bibliotheek AMFI
140;HV008780;In praise of shadows;1977;Bibliotheek AMFI
140;HV019129;De Verleiding;2003;Bibliotheek AMFI
140;FM003487;De verleiding op straat;2003;Bibliotheek AMFI
140;HV092638;Artificial presence;2010;Bibliotheek AMFI
