Barcode;Category
140;Esthetics
300;Research
320;Sociology
341;Bussines/Marketing
369;Retail Design
387;Bussines Information Management
388;Textile History
389;Stores History
489;Almanacs
536;Color
614;Sustainability
615;Clothing Advice
625;Clothing Design
684;Journals
685;Textile Technology
685.9;Textile Manufacturing
700;Art/ Architecture/Painting
742;Fashion Design
754;Graphic Design
760;Photography
761.7;Fashion Photography
770;Industrial Design
779;Illustrations
780;Pop Culture
785;Theater & Movies
905.1;Image Culture
905.2;Fashion Studies
907.8;Fashion History
Other;History
