Callnumber;Barcode;Title;Year;Location
FB: 003 BAAR;HV154287;Research. This is it!;2014;Bibliotheek Fraijlemaborg
FB: 003 BAAR;HV118411;Dit is onderzoek;2014;Bibliotheek Fraijlemaborg
FB: 003 BASI;HV116490;Basisboek methoden en technieken;2012;Bibliotheek Fraijlemaborg
FB: 003 BASI;HV116489;Basisboek methoden en technieken;2012;Bibliotheek Fraijlemaborg
FB: 003 BLUM;HV042003;Business research methods;2005;Bibliotheek Fraijlemaborg
FB: 003 BOEIJ;HV154615;Analyseren in kwalitatief onderzoek;2014;Bibliotheek Fraijlemaborg
FB: 003 BOEIJ;HV154614;Analyseren in kwalitatief onderzoek;2014;Bibliotheek Fraijlemaborg
FB: 003 BRIN;HV146457;De vragenlijst;2014;Bibliotheek Fraijlemaborg
FB: 003 BRIN;HV146458;De vragenlijst;2014;Bibliotheek Fraijlemaborg
FB: 003 BROH;HV100961;Kwalitatief onderzoeken;2010;Bibliotheek Fraijlemaborg
FB: 003 BUSI;HV089652;Business research methods;2007;Bibliotheek Fraijlemaborg
FB: 003 COLL;HV154500;Business research;2014;Bibliotheek Fraijlemaborg
FB: 003 COOP;HV041584;Business research methods;2006;Bibliotheek Fraijlemaborg
FB: 003 COTT;HV154502;Dissertations and project reports;2014;Bibliotheek Fraijlemaborg
FB: 003 DAVI;HV154484;Doing a successful research project;2014;Bibliotheek Fraijlemaborg
FB: 003 DAVI;HV039900;Business research for decision making;2005;Bibliotheek Fraijlemaborg
FB: 003 FISC;HV145054;Onderzoek doen!;2014;Bibliotheek Fraijlemaborg
FB: 003 FISC;HV098197;Onderzoeksvaardigheden;2009;Bibliotheek Fraijlemaborg
FB: 003 FOCU;HV015343;Focus op action research;2005;Bibliotheek Fraijlemaborg
FB: 003 FOCU;HV015342;Focus op action research;2005;Bibliotheek Fraijlemaborg
FB: 003 GHAU;HV098109;Research methods in business studies;2010;Bibliotheek Fraijlemaborg
