Barcode;Category;
003;Research;
031;Research Methods & Techniques;
090;Mass Media;
100;Philosophy;
170;Ethics;
200;Religion;
300;Social Sciences;
340;Economy;
390;Law;
400;Psychology;
415;Pedagogics;
450;Education;
453;Montessori Collection;
454;Shaping & Development;
468;Primary & Secondary Education;
500;Math;
530;Physics;
540;Chemistry;
550;Biology;
600;Anatomy;
606;Behavioural Therapy;
614;Sports;
640;Technology;
700;Arts;
730;Crafts;
;730;Drawing
;740;Theater
;780;Music
800;Languages;
;enge 837;English
;fra 837;French
;nede 837;Dutch
;NT2 837;Dutch as a second language
900;History;
950;Geography;
