Callnumber;Barcode;Title;Year;Location
LWB: 003 BAAR;HV130396;Basisboek kwalitatief onderzoek;2013;Bibliotheek Leeuwenburg
LWB: 003 BAAR;HV118304;Dit is onderzoek;2014;Bibliotheek Leeuwenburg
LWB: 003 BASI;HV125746;Basisboek methoden en technieken;2012;Bibliotheek Leeuwenburg
LWB: 003 BOEIJ;HV118585;Analyseren in kwalitatief onderzoek;2014;Bibliotheek Leeuwenburg
LWB: 003 BRAS;TM029501;De kern van casestudy's;2000;Bibliotheek Leeuwenburg
LWB: 003 BRIN;HV146459;De vragenlijst;2014;Bibliotheek Leeuwenburg
LWB: 003 CAVA;HV111593;Applied business research;2001;Bibliotheek Leeuwenburg
LWB: 003 CAVA;HV093982;Applied business research;2001;Bibliotheek Leeuwenburg
LWB: 003 CAVA;HV098012;Applied business research;2001;Bibliotheek Leeuwenburg
LWB: 003 ERIK;HV146964;Qualitative methods in business research;2008;Bibliotheek Leeuwenburg
LWB: 003 FISC;HV118476;Onderzoek doen!;2014;Bibliotheek Leeuwenburg
LWB: 003 FISC;HV154522;Onderzoeksvaardigheden;2009;Bibliotheek Leeuwenburg
LWB: 003 GRIT;HV120452;Zo doe je een onderzoek;2012;Bibliotheek Leeuwenburg
LWB: 003 GRIT;HV120367;Zo doe je een onderzoek;2012;Bibliotheek Leeuwenburg
LWB: 003 GROT;HV001171;Grote vragen in de wetenschap;2004;Bibliotheek Leeuwenburg
LWB: 003 JANS;HV084829;Enquêteren;2004;Bibliotheek Leeuwenburg
LWB: 003 JANS;HV084831;Enquêteren;2004;Bibliotheek Leeuwenburg
LWB: 003 KORZ;TM029493;De kern van survey-onderzoek;2000;Bibliotheek Leeuwenburg
LWB: 003 KUYP;FE029594;ABC van een onderzoeksopzet;1995;Bibliotheek Leeuwenburg
LWB: 003 MONT;HV129618;Design and analysis of experiments;2013;Bibliotheek Leeuwenburg
LWB: 003 ONDE;HV097689;Onderzoeksmethoden;2009;Bibliotheek Leeuwenburg
LWB: 003 ONDE;HV016748;Onderzoek de basis;2003;Bibliotheek Leeuwenburg
LWB: 003 ONLI;HV090131;Online onderzoek;2008;Bibliotheek Leeuwenburg
LWB: 003 OOST;HV008163;Een onderzoek uitvoeren;2002;Bibliotheek Leeuwenburg
LWB: 003 OOST;HV117965;Een onderzoek uitvoeren;2012;Bibliotheek Leeuwenburg
LWB: 003 OOST;HV117990;Een onderzoek voorbereiden;2010;Bibliotheek Leeuwenburg
LWB: 003 PIET;HV066268;Een goed onderzoek;2006;Bibliotheek Leeuwenburg
LWB: 003 PIET;HV066267;Een goed onderzoek;2006;Bibliotheek Leeuwenburg
LWB: 003 PLOO;HV133811;Onderzoek doen;2011;Bibliotheek Leeuwenburg
LWB: 003 RESE;HV132985;Research methods in critical security studies;2013;Bibliotheek Leeuwenburg
